"city","year","State","Region","Overall Homeless","Population","Percent Homeless","Variable","Measurement"
"Atlanta",2010,"GA","4",19836,9711881,0.204244677215464,"AWND",7.80833333333333
"Atlanta",2010,"GA","4",19836,9711881,0.204244677215464,"EMNT",13
"Atlanta",2010,"GA","4",19836,9711881,0.204244677215464,"EMXT",97
"Atlanta",2010,"GA","4",19836,9711881,0.204244677215464,"PRCP",48.16
"Atlanta",2010,"GA","4",19836,9711881,0.204244677215464,"SNOW",6.8
"Atlanta",2011,"GA","4",20975,9802431,0.213977532716119,"AWND",7.975
"Atlanta",2011,"GA","4",20975,9802431,0.213977532716119,"EMNT",19
"Atlanta",2011,"GA","4",20975,9802431,0.213977532716119,"EMXT",99
"Atlanta",2011,"GA","4",20975,9802431,0.213977532716119,"PRCP",39.25
"Atlanta",2011,"GA","4",20975,9802431,0.213977532716119,"SNOW",5.6
"Atlanta",2012,"GA","4",20516,9901430,0.207202393997635,"AWND",7.3
"Atlanta",2012,"GA","4",20516,9901430,0.207202393997635,"EMNT",19
"Atlanta",2012,"GA","4",20516,9901430,0.207202393997635,"EMXT",106
"Atlanta",2012,"GA","4",20516,9901430,0.207202393997635,"PRCP",37.04
"Atlanta",2012,"GA","4",20516,9901430,0.207202393997635,"SNOW",0
"Atlanta",2013,"GA","4",16971,9972479,0.170178347831066,"AWND",7.825
"Atlanta",2013,"GA","4",16971,9972479,0.170178347831066,"EMNT",22
"Atlanta",2013,"GA","4",16971,9972479,0.170178347831066,"EMXT",92
"Atlanta",2013,"GA","4",16971,9972479,0.170178347831066,"PRCP",66.05
"Atlanta",2013,"GA","4",16971,9972479,0.170178347831066,"SNOW",0.4
"Atlanta",2014,"GA","4",16521,10067278,0.164105928136682,"AWND",7.58333333333333
"Atlanta",2014,"GA","4",16521,10067278,0.164105928136682,"EMNT",6
"Atlanta",2014,"GA","4",16521,10067278,0.164105928136682,"EMXT",95
"Atlanta",2014,"GA","4",16521,10067278,0.164105928136682,"PRCP",47.64
"Atlanta",2014,"GA","4",16521,10067278,0.164105928136682,"SNOW",4.6
"Atlanta",2015,"GA","4",13790,10178447,0.13548235796679,"AWND",7.64166666666667
"Atlanta",2015,"GA","4",13790,10178447,0.13548235796679,"EMNT",11
"Atlanta",2015,"GA","4",13790,10178447,0.13548235796679,"EMXT",97
"Atlanta",2015,"GA","4",13790,10178447,0.13548235796679,"PRCP",68.43
"Atlanta",2015,"GA","4",13790,10178447,0.13548235796679,"SNOW",0
"Atlanta",2016,"GA","4",12909,10301890,0.125307103842111,"AWND",8.10833333333333
"Atlanta",2016,"GA","4",12909,10301890,0.125307103842111,"EMNT",20
"Atlanta",2016,"GA","4",12909,10301890,0.125307103842111,"EMXT",100
"Atlanta",2016,"GA","4",12909,10301890,0.125307103842111,"PRCP",38.71
"Atlanta",2016,"GA","4",12909,10301890,0.125307103842111,"SNOW",0.3
"Atlanta",2017,"GA","4",10174,10410330,0.0977298510229743,"AWND",7.81666666666667
"Atlanta",2017,"GA","4",10174,10410330,0.0977298510229743,"EMNT",15
"Atlanta",2017,"GA","4",10174,10410330,0.0977298510229743,"EMXT",94
"Atlanta",2017,"GA","4",10174,10410330,0.0977298510229743,"PRCP",52.5
"Atlanta",2017,"GA","4",10174,10410330,0.0977298510229743,"SNOW",2.3
"Atlanta",2018,"GA","4",9499,10511131,0.090370864943078,"AWND",8.15
"Atlanta",2018,"GA","4",9499,10511131,0.090370864943078,"EMNT",13
"Atlanta",2018,"GA","4",9499,10511131,0.090370864943078,"EMXT",95
"Atlanta",2018,"GA","4",9499,10511131,0.090370864943078,"PRCP",70.05
"Atlanta",2018,"GA","4",9499,10511131,0.090370864943078,"SNOW",2.4
"Atlanta",2019,"GA","4",10443,10617423,0.0983572002358764,"AWND",8.00833333333333
"Atlanta",2019,"GA","4",10443,10617423,0.0983572002358764,"EMNT",22
"Atlanta",2019,"GA","4",10443,10617423,0.0983572002358764,"EMXT",100
"Atlanta",2019,"GA","4",10443,10617423,0.0983572002358764,"PRCP",43.75
"Atlanta",2019,"GA","4",10443,10617423,0.0983572002358764,"SNOW",0
"Chicago",2010,"IL","2",14395,12840503,0.112106200201036,"AWND",9.175
"Chicago",2010,"IL","2",14395,12840503,0.112106200201036,"EMNT",-1
"Chicago",2010,"IL","2",14395,12840503,0.112106200201036,"EMXT",94
"Chicago",2010,"IL","2",14395,12840503,0.112106200201036,"PRCP",37.64
"Chicago",2010,"IL","2",14395,12840503,0.112106200201036,"SNOW",49.6
"Chicago",2011,"IL","2",14009,12867454,0.108871576304061,"AWND",9.475
"Chicago",2011,"IL","2",14009,12867454,0.108871576304061,"EMNT",-9
"Chicago",2011,"IL","2",14009,12867454,0.108871576304061,"EMXT",99
"Chicago",2011,"IL","2",14009,12867454,0.108871576304061,"PRCP",49.85
"Chicago",2011,"IL","2",14009,12867454,0.108871576304061,"SNOW",42.9
"Chicago",2012,"IL","2",14144,12882510,0.10979226874266,"AWND",9.66666666666667
"Chicago",2012,"IL","2",14144,12882510,0.10979226874266,"EMNT",5
"Chicago",2012,"IL","2",14144,12882510,0.10979226874266,"EMXT",103
"Chicago",2012,"IL","2",14144,12882510,0.10979226874266,"PRCP",26.95
"Chicago",2012,"IL","2",14144,12882510,0.10979226874266,"SNOW",19
"Chicago",2013,"IL","2",13425,12895129,0.104109078707161,"AWND",9.64166666666667
"Chicago",2013,"IL","2",13425,12895129,0.104109078707161,"EMNT",-6
"Chicago",2013,"IL","2",13425,12895129,0.104109078707161,"EMXT",96
"Chicago",2013,"IL","2",13425,12895129,0.104109078707161,"PRCP",42.12
"Chicago",2013,"IL","2",13425,12895129,0.104109078707161,"SNOW",44.5
"Chicago",2014,"IL","2",13107,12884493,0.101726936403318,"AWND",10.0833333333333
"Chicago",2014,"IL","2",13107,12884493,0.101726936403318,"EMNT",-16
"Chicago",2014,"IL","2",13107,12884493,0.101726936403318,"EMXT",91
"Chicago",2014,"IL","2",13107,12884493,0.101726936403318,"PRCP",39.5
"Chicago",2014,"IL","2",13107,12884493,0.101726936403318,"SNOW",69.9
"Chicago",2015,"IL","2",13177,12858913,0.10247366943069,"AWND",9.84166666666667
"Chicago",2015,"IL","2",13177,12858913,0.10247366943069,"EMNT",-10
"Chicago",2015,"IL","2",13177,12858913,0.10247366943069,"EMXT",92
"Chicago",2015,"IL","2",13177,12858913,0.10247366943069,"PRCP",39.88
"Chicago",2015,"IL","2",13177,12858913,0.10247366943069,"SNOW",63.6
"Chicago",2016,"IL","2",11590,12820527,0.0904019000154986,"AWND",9.66666666666667
"Chicago",2016,"IL","2",11590,12820527,0.0904019000154986,"EMNT",-13
"Chicago",2016,"IL","2",11590,12820527,0.0904019000154986,"EMXT",93
"Chicago",2016,"IL","2",11590,12820527,0.0904019000154986,"PRCP",36.02
"Chicago",2016,"IL","2",11590,12820527,0.0904019000154986,"SNOW",33.3
"Chicago",2017,"IL","2",10798,12778828,0.0844991418618358,"AWND",10.05
"Chicago",2017,"IL","2",10798,12778828,0.0844991418618358,"EMNT",-4
"Chicago",2017,"IL","2",10798,12778828,0.0844991418618358,"EMXT",95
"Chicago",2017,"IL","2",10798,12778828,0.0844991418618358,"PRCP",43.13
"Chicago",2017,"IL","2",10798,12778828,0.0844991418618358,"SNOW",13.8
"Chicago",2018,"IL","2",10643,12723071,0.0836511876731647,"AWND",9.39166666666667
"Chicago",2018,"IL","2",10643,12723071,0.0836511876731647,"EMNT",-9
"Chicago",2018,"IL","2",10643,12723071,0.0836511876731647,"EMXT",97
"Chicago",2018,"IL","2",10643,12723071,0.0836511876731647,"PRCP",49.25
"Chicago",2018,"IL","2",10643,12723071,0.0836511876731647,"SNOW",44.8
"Chicago",2019,"IL","2",10199,12671821,0.0804856697391795,"AWND",9.6
"Chicago",2019,"IL","2",10199,12671821,0.0804856697391795,"EMNT",-23
"Chicago",2019,"IL","2",10199,12671821,0.0804856697391795,"EMXT",95
"Chicago",2019,"IL","2",10199,12671821,0.0804856697391795,"PRCP",49.58
"Chicago",2019,"IL","2",10199,12671821,0.0804856697391795,"SNOW",45.9
"Dallas",2010,"TX","5",35121,25241971,0.139137312217021,"AWND",10.3666666666667
"Dallas",2010,"TX","5",35121,25241971,0.139137312217021,"EMNT",13
"Dallas",2010,"TX","5",35121,25241971,0.139137312217021,"EMXT",107
"Dallas",2010,"TX","5",35121,25241971,0.139137312217021,"PRCP",31.71
