"city","year","EMXT","State","Region","Overall Homeless","Population","Percent Homeless"
"Atlanta",2010,97,"GA","4",19836,9711881,0.00204244677215464
"Atlanta",2011,99,"GA","4",20975,9802431,0.00213977532716119
"Atlanta",2012,106,"GA","4",20516,9901430,0.00207202393997635
"Atlanta",2013,92,"GA","4",16971,9972479,0.00170178347831066
"Atlanta",2014,95,"GA","4",16521,10067278,0.00164105928136682
"Atlanta",2015,97,"GA","4",13790,10178447,0.0013548235796679
"Atlanta",2016,100,"GA","4",12909,10301890,0.00125307103842111
"Atlanta",2017,94,"GA","4",10174,10410330,0.000977298510229743
"Atlanta",2018,95,"GA","4",9499,10511131,0.00090370864943078
"Atlanta",2019,100,"GA","4",10443,10617423,0.000983572002358764
"Chicago",2010,94,"IL","2",14395,12840503,0.00112106200201036
"Chicago",2011,99,"IL","2",14009,12867454,0.00108871576304061
"Chicago",2012,103,"IL","2",14144,12882510,0.0010979226874266
"Chicago",2013,96,"IL","2",13425,12895129,0.00104109078707161
"Chicago",2014,91,"IL","2",13107,12884493,0.00101726936403318
"Chicago",2015,92,"IL","2",13177,12858913,0.0010247366943069
"Chicago",2016,93,"IL","2",11590,12820527,0.000904019000154986
"Chicago",2017,95,"IL","2",10798,12778828,0.000844991418618358
"Chicago",2018,97,"IL","2",10643,12723071,0.000836511876731648
"Chicago",2019,95,"IL","2",10199,12671821,0.000804856697391796
"Dallas",2010,107,"TX","5",35121,25241971,0.00139137312217021
"Dallas",2011,110,"TX","5",36911,25645629,0.00143927060630878
"Dallas",2012,108,"TX","5",34052,26084481,0.00130545054739636
"Dallas",2013,105,"TX","5",29615,26480266,0.00111838000418878
"Dallas",2014,104,"TX","5",28495,26964333,0.00105676635873025
"Dallas",2015,106,"TX","5",23678,27470056,0.000861956743007732
"Dallas",2016,107,"TX","5",23122,27914410,0.000828317704010223
"Dallas",2017,102,"TX","5",23548,28295273,0.000832223813497046
"Dallas",2018,109,"TX","5",25310,28628666,0.000884078915867054
"Dallas",2019,102,"TX","5",25848,28995881,0.000891436959615057
"Denver",2010,102,"CO","1",15482,5047349,0.00306735278261915
"Denver",2011,99,"CO","1",15116,5121108,0.00295170498259361
"Denver",2012,105,"CO","1",16768,5192647,0.00322918157155686
"Denver",2013,NA,"CO","1",9754,5269035,0.00185119286548675
"Denver",2014,100,"CO","1",10028,5350101,0.00187435713830449
"Denver",2015,98,"CO","1",9953,5450623,0.00182602979512617
"Denver",2016,102,"CO","1",10550,5539215,0.00190460200587989
"Denver",2017,100,"CO","1",10940,5611885,0.00194943410280147
"Denver",2018,105,"CO","1",10857,5691287,0.00190765287359432
"Denver",2019,101,"CO","1",9619,5758736,0.00167033182281667
"Las Vegas",2010,113,"NV","5",11205,2702405,0.00414630671568473
"Las Vegas",2011,112,"NV","5",9150,2712730,0.00337298588506781
"Las Vegas",2012,114,"NV","5",8497,2743996,0.00309657885798667
"Las Vegas",2013,117,"NV","5",7039,2775970,0.00253569022719986
"Las Vegas",2014,112,"NV","5",8582,2817628,0.00304582436006456
"Las Vegas",2015,113,"NV","5",8743,2866939,0.00304959400949933
"Las Vegas",2016,115,"NV","5",7398,2917563,0.00253567789281671
"Las Vegas",2017,117,"NV","5",7833,2969905,0.00263745810051163
"Las Vegas",2018,115,"NV","5",7544,3027341,0.0024919558120476
"Las Vegas",2019,113,"NV","5",7169,3080156,0.0023274795172712
"Los Angeles",2010,105,"CA","4",123480,37319502,0.00330872582383334
"Los Angeles",2011,92,"CA","4",125128,37638369,0.003324479867871
"Los Angeles",2012,98,"CA","4",120098,37948800,0.00316473775191837
"Los Angeles",2013,92,"CA","4",118552,38260787,0.00309852486829401
"Los Angeles",2014,97,"CA","4",113952,38596972,0.00295235595165341
"Los Angeles",2015,99,"CA","4",115738,38918045,0.00297389038940676
"Los Angeles",2016,101,"CA","4",118142,39167117,0.00301635680767619
"Los Angeles",2017,104,"CA","4",131532,39358497,0.00334189590623849
"Los Angeles",2018,94,"CA","4",129972,39461588,0.00329363329220304
"Los Angeles",2019,98,"CA","4",151278,39512223,0.0038286380394239
"Madison",2010,92,"WI","1",6333,5690475,0.00111291236671807
"Madison",2011,97,"WI","1",5785,5705288,0.00101397159968086
"Madison",2012,104,"WI","1",6027,5719960,0.00105367869705383
"Madison",2013,94,"WI","1",6104,5736754,0.00106401634094821
"Madison",2014,93,"WI","1",6055,5751525,0.00105276426686835
"Madison",2015,92,"WI","1",6057,5760940,0.00105139091884311
"Madison",2016,94,"WI","1",5685,5772628,0.000984820085409973
"Madison",2017,92,"WI","1",5027,5790186,0.000868193180668117
"Madison",2018,95,"WI","1",4907,5807406,0.000844955561915251
"Madison",2019,93,"WI","1",4538,5822434,0.000779399131016341
"Miami",2010,96,"FL","5",57551,18845537,0.00305382648422276
"Miami",2011,97,"FL","5",56687,19053237,0.00297518999002637
"Miami",2012,94,"FL","5",55170,19297822,0.00285887184574508
"Miami",2013,94,"FL","5",47862,19545621,0.00244873263428161
"Miami",2014,95,"FL","5",41542,19845911,0.00209322716402386
"Miami",2015,96,"FL","5",35900,20209042,0.00177643254935093
"Miami",2016,95,"FL","5",33559,20613477,0.00162801258613479
"Miami",2017,98,"FL","5",32190,20963613,0.00153551775640964
"Miami",2018,94,"FL","5",31030,21244317,0.00146062591703937
"Miami",2019,98,"FL","5",28328,21477737,0.00131894714978585
"New York",2010,103,"NY","2",65606,19399878,0.00338177384414479
"New York",2011,104,"NY","2",63445,19499241,0.00325371638824301
"New York",2012,101,"NY","2",69566,19572932,0.00355419412891232
"New York",2013,100,"NY","2",77430,19624447,0.00394558888716711
"New York",2014,93,"NY","2",80590,19651049,0.00410105333308161
"New York",2015,95,"NY","2",88250,19654666,0.00449002796587843
"New York",2016,99,"NY","2",86352,19633428,0.00439821308841227
"New York",2017,101,"NY","2",89503,19589572,0.00456891043867625
"New York",2018,98,"NY","2",91897,19530351,0.00470534298129102
"New York",2019,100,"NY","2",92091,19453561,0.00473388908077035
"Seattle",2010,96,"WA","3",22878,6742830,0.00339293738682423
"Seattle",2011,87,"WA","3",20439,6826627,0.00299401153746938
"Seattle",2012,94,"WA","3",20504,6897058,0.00297286176221804
"Seattle",2013,93,"WA","3",17760,6963985,0.00255026396524404
"Seattle",2014,96,"WA","3",18442,7054655,0.00261416043732826
"Seattle",2015,95,"WA","3",19419,7163657,0.00271076630274174
"Seattle",2016,95,"WA","3",20827,7294771,0.00285505878114611
"Seattle",2017,96,"WA","3",21112,7423362,0.00284399440576925
"Seattle",2018,94,"WA","3",22304,7523869,0.00296443226217788
"Seattle",2019,95,"WA","3",21577,7614893,0.00283352635421141
