"STATION","NAME","DATE","AWND","DP10","DSNW","DT00","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2010-01","9.8","6","0","0","3","0","13","1","0.6","2.75","66","5.39","0.6","38.5","47.3","29.7"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2010-02","10.5","7","1","0","0","0","23","3","3.6","1.93","66","4.17","3.6","39.6","48.5","30.8"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2010-03","9.2","8","1","0","0","0","29","0","1.1","2.06","78","4.24","1.1","50.7","60.3","41.0"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2010-04","7.2","3","0","0","0","0","43","0","0.0","1.81","86","2.56","0.0","65.2","76.4","54.0"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2010-05","7.6","5","0","0","0","2","50","0","0.0","2.81","90","6.88","0.0","73.4","82.5","64.2"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2010-06","6.3","7","0","0","0","19","65","0","0.0","1.10","95","5.21","0.0","81.4","90.5","72.3"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2010-07","6.0","7","0","0","0","22","65","0","0.0","1.24","97","4.37","0.0","82.3","91.3","73.3"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2010-08","6.0","6","0","0","0","23","69","0","0.0","1.06","96","3.32","0.0","82.8","91.4","74.2"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2010-09","6.0","3","0","0","0","19","54","0","0.0","1.13","96","1.59","0.0","78.0","88.9","67.0"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2010-10","7.2","3","0","0","0","0","42","0","0.0","2.35","86","3.33","0.0","65.2","77.4","53.1"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2010-11","7.8","8","0","0","0","0","30","0","0.0","2.26","76","5.48","0.0","54.6","64.6","44.6"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2010-12","10.1","4","1","0","2","0","14","0","1.3","0.64","67","1.62","1.5","38.3","47.6","29.0"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2011-01","8.9","6","1","0","2","0","19","3","3.7","0.93","71","2.63","4.4","40.2","48.5","31.8"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2011-02","8.9","6","1","0","0","0","26","1","1.2","1.38","76","4.25","1.2","50.0","60.5","39.5"
"USW00013874","ATLANTA HARTSFIELD JACKSON INTERNATIONAL AIRPORT, GA US","2011-03","9.2","9","0","0","0","0","35","0","0.0","1.95","82","9.06","0.0","55.8","65.2","46.3"
