"STATION","NAME","DATE","AWND","DP10","DSNW","DT00","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-01","9.8","3","2","2","22","0","-1","8","3.9","0.49","46","1.13","9.1","21.9","27.4","16.4"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-02","8.7","5","5","0","18","0","6","9","12.6","0.65","42","1.64","22.5","26.7","32.3","21.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-03","9.2","3","1","0","0","0","20","3","1.8","0.61","77","1.56","1.8","41.7","50.4","33.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-04","11.2","7","0","0","0","0","30","0","0.0","0.82","83","3.01","0.0","54.6","65.5","43.6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-05","9.2","8","0","0","0","2","38","0","0.0","1.49","91","4.90","0.0","61.7","71.1","52.2"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-06","8.3","11","0","0","0","1","54","0","0.0","1.02","90","6.17","0.0","71.2","80.1","62.2"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-07","8.1","8","0","0","0","12","55","0","0.0","3.64","94","8.85","0.0","77.6","87.1","68.2"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-08","7.6","5","0","0","0","6","59","0","0.0","0.48","94","1.80","0.0","76.7","85.7","67.7"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-09","9.2","6","0","0","0","0","46","0","0.0","1.55","89","2.78","0.0","65.1","74.2","56.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-10","9.2","4","0","0","0","0","31","0","0.0","0.26","86","0.93","0.0","56.0","66.8","45.2"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-11","9.8","4","0","0","1","0","18","0","0.0","1.37","69","2.52","0.0","41.5","50.8","32.2"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2010-12","9.8","6","4","0","23","0","2","7","5.1","0.67","53","2.35","16.2","22.5","29.0","16.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-01","9.6","3","2","1","27","0","-4","4","5.9","0.31","41","0.93","10.6","20.6","26.7","14.5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-02","11.0","10","5","3","12","0","-9","21","13.6","0.95","56","3.52","29.0","26.2","32.7","19.6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-03","9.8","6","0","0","1","0","21","1","0.7","1.11","67","2.62","1.0","36.3","43.8","28.8"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-04","11.9","13","0","0","0","0","28","1","0.6","0.95","83","4.91","0.6","47.7","56.1","39.3"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-05","10.5","10","0","0","0","1","35","0","0.0","2.24","90","7.27","0.0","57.9","67.8","48.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-06","8.9","7","0","0","0","4","50","0","0.0","0.93","96","3.39","0.0","69.5","79.4","59.5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-07","7.4","7","0","0","0","12","59","0","0.0","6.86","99","11.15","0.0","79.1","88.6","69.5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-08","6.7","7","0","0","0","3","57","0","0.0","1.11","93","4.54","0.0","73.5","82.5","64.4"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-09","8.7","6","0","0","0","2","42","0","0.0","1.21","93","3.45","0.0","62.2","69.9","54.4"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-10","8.1","6","0","0","0","0","33","0","0.0","0.85","84","1.98","0.0","54.9","65.2","44.6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-11","11.9","5","0","0","0","0","24","0","0.0","1.53","70","3.44","0.0","44.9","52.4","37.4"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2011-12","9.2","3","1","0","4","0","12","1","1.2","1.43","57","2.65","1.7","35.2","41.8","28.6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2012-01","10.1","5","2","0","10","0","5","5","5.4","0.54","57","1.87","12.2","30.2","38.5","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2012-02","9.8","6","2","0","2","0","10","3","3.5","0.54","59","1.65","5.6","32.9","40.2","25.6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2012-03","11.6","6","0","0","1","0","21","0","0.3","1.25","87","2.68","0.3","53.5","63.3","43.6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2012-04","11.0","5","0","0","0","0","32","0","0.0","0.67","77","1.65","0.0","50.7","59.8","41.6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2012-05","9.6","6","0","0","0","5","43","0","0.0","1.34","97","4.38","0.0","65.6","76.5","54.6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2012-06","9.6","3","0","0","0","12","49","0","0.0","0.42","100","0.91","0.0","73.9","85.5","62.4"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2012-07","8.3","7","0","0","0","18","63","0","0.0","0.85","103","3.66","0.0","81.0","91.5","70.6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2012-08","6.9","5","0","0","0","10","53","0","0.0","0.57","95","2.07","0.0","73.3","83.9","62.6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2012-09","8.9","6","0","0","0","1","37","0","0.0","0.64","90","1.76","0.0","64.1","74.5","53.7"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2012-10","11.4","8","0","0","0","0","32","0","0.0","0.81","78","3.15","0.0","51.5","60.5","42.4"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2012-11","8.5","4","0","0","1","0","17","0","0.0","0.29","70","0.96","0.0","40.5","49.0","32.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2012-12","10.3","4","0","0","3","0","14","0","0.3","1.26","70","2.21","0.9","36.1","42.5","29.7"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-01","11.6","6","1","1","14","0","-1","0","1.1","1.33","63","3.63","2.6","26.6","35.3","17.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-02","11.2","8","6","1","13","0","0","5","4.8","1.07","52","2.96","16.1","26.1","33.2","19.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-03","10.3","3","1","0","4","0","14","10","9.2","0.87","59","2.00","10.5","32.6","39.6","25.6"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-04","11.9","8","0","0","0","0","25","0","0.1","3.54","85","8.69","0.1","46.9","56.3","37.5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-05","9.2","10","0","0","0","1","36","0","0.0","1.35","91","4.96","0.0","61.0","71.2","50.7"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-06","8.5","10","0","0","0","1","43","0","0.0","1.48","90","6.24","0.0","68.5","78.2","58.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-07","7.6","4","0","0","0","4","54","0","0.0","0.58","96","2.22","0.0","73.2","81.8","64.5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-08","7.4","4","0","0","0","4","55","0","0.0","0.63","96","1.69","0.0","73.0","82.7","63.3"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-09","8.3","6","0","0","0","3","46","0","0.0","0.84","95","2.57","0.0","67.2","77.1","57.3"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-10","8.5","6","0","0","0","0","29","0","0.0","1.04","80","3.12","0.0","53.1","62.4","43.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-11","11.4","5","0","0","4","0","11","0","0.5","0.60","69","2.09","0.9","37.5","45.3","29.7"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2013-12","9.8","6","4","4","16","0","-6","5","4.0","0.31","56","1.95","14.3","23.5","31.2","15.7"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-01","13.2","8","9","11","21","0","-16","11","8.7","0.80","45","2.83","33.7","15.8","24.8","6.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-02","10.5","4","5","7","23","0","-8","14","5.7","1.16","49","2.48","19.6","17.5","25.8","9.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-03","11.0","6","4","1","8","0","-2","6","3.7","0.48","68","1.71","12.3","31.7","40.9","22.5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-04","11.4","6","1","0","0","0","26","1","1.4","0.61","80","2.84","1.4","48.6","59.3","37.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-05","10.1","9","0","0","0","0","37","0","0.0","2.09","89","4.98","0.0","60.4","71.0","49.7"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-06","9.4","10","0","0","0","2","49","0","0.0","2.60","91","7.81","0.0","70.9","81.0","60.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-07","8.7","5","0","0","0","1","54","0","0.0","0.63","90","2.15","0.0","70.4","79.8","60.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2014-08","7.6","8","0","0","0","0","52","0","0.0","2.76","88","7.30","0.0","73.7","82.1","65.3"
