"STATION","NAME","DATE","AWND","DP10","DSNW","DT00","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2010-01","9.4","4","0","0","2","0","13","0","0.0","1.73","76","2.76","0.0","44.3","54.0","34.5"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2010-02","9.4","5","2","0","0","0","26","11","11.2","1.08","65","2.83","12.6","41.7","49.3","34.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2010-03","12.8","6","1","0","0","0","32","1","1.2","1.17","83","3.57","1.3","55.7","66.9","44.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2010-04","12.3","3","0","0","0","0","44","0","0.0","1.26","83","2.03","0.0","66.7","76.7","56.7"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2010-05","10.3","3","0","0","0","12","51","0","0.0","0.60","99","1.09","0.0","76.9","87.2","66.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2010-06","11.4","5","0","0","0","27","69","0","0.0","0.79","100","2.08","0.0","86.5","96.5","76.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2010-07","9.4","6","0","0","0","28","73","0","0.0","0.92","102","3.13","0.0","85.9","94.8","77.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2010-08","8.7","2","0","0","0","30","69","0","0.0","0.21","107","0.41","0.0","89.8","100.5","79.0"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2010-09","8.9","5","0","0","0","17","53","0","0.0","5.24","96","9.10","0.0","79.8","88.8","70.8"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2010-10","8.3","1","0","0","0","0","42","0","0.0","1.11","88","1.16","0.0","68.8","81.4","56.2"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2010-11","12.1","2","0","0","0","0","30","0","0.0","1.04","84","1.50","0.0","58.4","69.2","47.7"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2010-12","11.4","3","0","0","0","0","26","0","0.0","0.99","85","2.05","0.0","49.3","60.1","38.6"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2011-01","8.5","2","0","0","0","0","20","0","0.2","1.27","75","1.61","0.3","42.8","53.7","31.9"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2011-02","13.0","4","1","0","3","0","13","3","2.6","0.41","82","0.93","4.0","49.5","60.9","38.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2011-03","13.0","0","0","0","0","0","30","0","0.0","0.06","85","0.07","0.0","61.3","72.5","50.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2011-04","14.8","3","0","0","0","3","38","0","0.0","1.14","91","2.46","0.0","70.8","82.3","59.2"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2011-05","13.6","7","0","0","0","11","42","0","0.0","2.00","97","7.95","0.0","72.8","83.6","62.1"
"USW00003927","DAL FTW WSCMO AIRPORT, TX US","2011-06","13.0","1","0","0","0","30","67","0","0.0","2.84","104","2.84","0.0","86.8","97.6","75.9"
