"STATION","NAME","DATE","AWND","DP10","DSNW","DT00","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-01","8.1","0","1","3","2","0","-16","2","2.3","0.05","58","0.07","2.6","30.3","42.9","17.6"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-02","7.6","0","3","1","8","0","-1","2","1.3","0.08","52","0.30","5.8","29.1","39.7","18.5"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-03","10.1","2","3","0","0","0","13","8","8.0","0.61","82","0.80","12.8","41.0","53.5","28.5"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-04","12.1","3","0","0","0","0","26","1","0.5","1.09","79","2.51","0.5","47.8","61.7","33.9"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-05","11.9","2","1","0","0","1","28","1","1.3","0.98","90","1.52","1.3","54.0","68.3","39.7"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-06","9.8","3","0","0","0","10","47","0","0.0","0.69","99","1.60","0.0","68.8","84.1","53.6"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-07","9.2","5","0","0","0","18","53","0","0.0","1.84","102","3.70","0.0","74.4","89.3","59.5"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-08","9.6","3","0","0","0","12","47","0","0.0","0.68","97","1.05","0.0","73.8","88.6","59.0"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-09","9.4","0","0","0","0","8","40","0","0.0","0.03","96","0.06","0.0","67.0","84.8","49.1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-10","9.2","2","0","0","0","0","20","0","0.0","0.34","85","0.54","0.0","55.3","69.7","40.9"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-11","9.6","2","1","0","1","0","4","0","1.5","0.15","77","0.49","1.5","38.3","52.6","24.0"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2010-12","8.7","2","2","1","2","0","0","2","2.2","0.12","70","0.22","3.3","34.3","48.9","19.7"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2011-01","9.2","1","1","4","6","0","-5","7","6.5","0.43","67","0.61","8.0","29.9","42.2","17.7"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2011-02","10.5","2","4","6","7","0","-17","3","1.5","0.15","67","0.42","5.3","29.0","43.4","14.7"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2011-03","11.2","1","2","0","1","0","14","0","1.1","0.13","76","0.36","2.5","43.2","58.7","27.8"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2011-04","12.1","6","1","0","0","0","19","0","1.2","0.17","84","1.07","1.2","48.4","62.7","34.0"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2011-05","10.3","5","1","0","0","0","28","0","1.0","1.55","86","4.80","1.0","53.1","65.4","40.7"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2011-06","10.5","4","0","0","0","7","45","0","0.0","1.05","96","2.43","0.0","68.2","83.3","53.0"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2011-07","9.4","7","0","0","0","20","56","0","0.0","1.04","99","3.42","0.0","75.9","91.1","60.7"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2011-08","8.7","1","0","0","0","22","55","0","0.0","0.27","99","0.30","0.0","77.0","92.7","61.3"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2011-09","8.1","2","0","0","0","1","38","0","0.0","0.56","96","0.89","0.0","64.2","78.6","49.9"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2011-10","9.8","3","1","0","1","0","14","5","8.0","1.04","87","1.79","8.5","52.6","67.3","37.9"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2011-11","9.8","2","2","0","1","0","10","3","2.5","0.28","69","0.47","4.5","39.5","54.1","24.8"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2011-12","9.4","3","4","2","7","0","-5","5","5.7","0.28","58","0.78","16.5","26.6","38.5","14.8"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2012-01","10.7","1","1","2","1","0","-6","3","3.2","0.10","66","0.26","4.9","36.0","50.3","21.6"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2012-02","11.4","2","6","0","9","0","3","11","12.5","0.57","65","0.90","20.2","28.4","38.7","18.1"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2012-03","11.6","0","0","0","0","0","16","0","0.0","0.02","81","0.03","0.0","49.2","65.4","32.9"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2012-04","11.4","4","1","0","0","0","24","0","1.0","0.43","88","1.39","1.0","53.3","68.6","37.9"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2012-05","10.3","3","0","0","0","2","36","0","0.0","0.60","93","1.01","0.0","60.5","75.4","45.5"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2012-06","12.1","2","0","0","0","17","43","0","0.0","0.61","105","1.22","0.0","75.0","91.7","58.4"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2012-07","9.8","2","0","0","0","27","57","0","0.0","0.23","102","0.48","0.0","78.9","94.4","63.4"
"USW00003017","DENVER INTERNATIONAL AIRPORT, CO US","2012-08","9.8","1","0","0","0","20","47","0","0.0","0.11","98","0.11","0.0","75.0","91.0","58.9"
