"STATION","NAME","DATE","AWND","DP10","DSNW","DT00","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2010-01","4.5","4","0","0","0","0","33","0","0.0","0.89","65","2.04","0.0","48.8","57.6","40.0"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2010-02","5.8","4","0","0","0","0","37","0","0.0","0.41","70","1.05","0.0","52.5","60.8","44.3"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2010-03","9.6","1","0","0","0","0","40","0","0.0","0.14","82","0.15","0.0","58.3","67.8","48.8"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2010-04","11.0","0","0","0","0","0","45","0","0.0","0.04","88","0.05","0.0","64.0","74.8","53.1"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2010-05","11.4","0","0","0","0","7","49","0","0.0","0.00","96","0.00","0.0","71.7","82.5","60.8"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2010-06","11.9","0","0","0","0","27","64","0","0.0","0.00","110","0.00","0.0","87.5","99.2","75.8"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2010-07","11.2","0","0","0","0","31","77","0","0.0","0.00","113","0.00","0.0","96.2","106.6","85.7"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2010-08","11.2","0","0","0","0","29","65","0","0.0","0.00","108","0.00","0.0","91.4","102.7","80.1"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2010-09","8.5","0","0","0","0","27","65","0","0.0","0.01","108","0.01","0.0","85.1","98.1","72.2"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2010-10","7.6","3","0","0","0","5","49","0","0.0","0.35","96","0.82","0.0","70.4","79.9","60.9"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2010-11","9.2","0","0","0","0","0","30","0","0.0","0.01","86","0.01","0.0","56.3","65.7","46.9"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2010-12","7.6","4","0","0","0","0","30","0","0.0","1.01","70","1.78","0.0","51.3","59.1","43.6"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2011-01","6.3","0","0","0","0","0","27","0","0.0","0.01","74","0.01","0.0","49.1","58.8","39.3"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2011-02","9.4","0","0","0","0","0","26","0","0.0","0.05","71","0.07","0.0","50.4","60.4","40.3"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2011-03","9.8","1","0","0","0","0","39","0","0.0","0.15","88","0.17","0.0","60.7","71.1","50.2"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2011-04","11.9","0","0","0","0","2","41","0","0.0","0.00","93","0.00","0.0","66.5","77.4","55.5"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2011-05","11.9","0","0","0","0","11","51","0","0.0","0.01","96","0.01","0.0","72.0","83.6","60.3"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2011-06","11.6","0","0","0","0","25","60","0","0.0","0.00","110","0.00","0.0","85.5","97.4","73.5"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2011-07","9.8","1","0","0","0","31","74","0","0.0","0.74","111","0.83","0.0","91.6","102.5","80.8"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2011-08","10.5","0","0","0","0","31","74","0","0.0","0.01","112","0.01","0.0","93.9","105.9","81.9"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2011-09","6.7","2","0","0","0","25","64","0","0.0","0.46","105","0.78","0.0","84.0","95.6","72.4"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2011-10","7.2","1","0","0","0","5","49","0","0.0","0.10","95","0.21","0.0","70.5","81.8","59.2"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2011-11","7.4","0","0","0","0","0","38","0","0.0","0.07","79","0.11","0.0","54.8","64.6","44.9"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2011-12","6.7","0","0","0","0","0","28","0","0.0","0.09","65","0.14","0.0","46.1","55.7","36.6"
"USW00023169","MCCARRAN INTERNATIONAL AIRPORT, NV US","2012-01","7.2","0","0","0","0","0","34","0","0.0","0.00","68","0.00","0.0","50.6","61.2","40.1"
