"STATION","NAME","DATE","AWND","DP10","DSNW","DT00","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-01","6.0","8",,"0","0","0","43",,,"1.13","80","4.30",,"58.4","66.8","50.0"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-02","6.9","5",,"0","0","0","41",,,"1.39","80","3.23",,"57.5","64.7","50.3"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-03","7.8","1",,"0","0","0","46",,,"0.18","85","0.21",,"59.8","67.5","52.1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-04","9.2","4",,"0","0","0","46",,,"0.56","79","1.25",,"58.5","64.6","52.3"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-05","8.3","0",,"0","0","0","51",,,"0.04","75","0.08",,"61.0","67.0","55.0"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-06","6.9","0",,"0","0","0","57",,,"0.00","72","0.00",,"64.6","69.0","60.2"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-07","7.6","0",,"0","0","0","58",,,"0.00","79","0.00",,"65.7","70.5","61.0"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-08","7.4","0",,"0","0","0","57",,,"0.00","83","0.00",,"65.8","71.4","60.3"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-09","6.7","0",,"0","0","2","56",,,"0.00","105","0.00",,"66.8","73.2","60.4"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-10","6.5","5",,"0","0","0","54",,,"0.62","84","1.56",,"65.6","70.8","60.3"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-11","6.5","2",,"0","0","2","42",,,"0.31","98","0.59",,"61.4","70.3","52.5"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2010-12","5.8","9",,"0","0","0","39",,,"2.23","83","8.83",,"58.2","65.0","51.3"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-01","4.9","2",,"0","0","0","44",,,"0.59","81","0.81",,"59.2","68.7","49.6"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-02","6.5","4",,"0","0","0","41",,,"0.50","80","1.47",,"55.3","63.3","47.3"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-03","7.4","7",,"0","0","0","44",,,"2.36","83","4.04",,"57.9","64.5","51.4"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-04","8.3","0",,"0","0","0","44",,,"0.00","83","0.00",,"61.8","68.1","55.4"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-05","8.7","2",,"0","0","0","51",,,"0.25","87","0.53",,"62.4","68.6","56.2"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-06","7.6","0",,"0","0","0","53",,,"0.02","74","0.02",,"63.8","68.9","58.7"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-07","8.1","0",,"0","0","0","59",,,"0.00","78","0.00",,"68.3","73.3","63.4"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-08","6.9","0",,"0","0","0","59",,,"0.00","82","0.00",,"67.6","72.9","62.3"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-09","6.9","0",,"0","0","0","58",,,"0.01","84","0.01",,"66.9","72.1","61.8"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-10","6.0","1",,"0","0","1","52",,,"0.61","92","0.63",,"64.5","70.9","58.1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-11","5.6","4",,"0","0","0","44",,,"0.98","84","1.69",,"59.1","67.0","51.2"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2011-12","4.5","1",,"0","0","0","40",,,"0.65","73","0.67",,"55.0","64.2","45.8"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-01","4.9","2",,"0","0","0","44",,,"0.62","85","1.19",,"59.4","69.5","49.2"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-02","6.5","0",,"0","0","0","41",,,"0.09","78","0.12",,"57.1","65.3","48.8"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-03","7.6","4",,"0","0","0","43",,,"0.98","87","1.78",,"57.1","64.2","50.1"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-04","7.8","5",,"0","0","0","45",,,"0.44","82","1.51",,"59.7","66.4","53.0"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-05","7.6","0",,"0","0","0","54",,,"0.01","74","0.01",,"63.0","68.1","58.0"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-06","7.6","0",,"0","0","0","58",,,"0.00","74","0.00",,"65.3","70.0","60.6"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-07","7.4","0",,"0","0","0","57",,,"0.00","86","0.00",,"66.6","71.6","61.7"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-08","7.2","0",,"0","0","0","62",,,"0.00","85","0.00",,"72.2","78.0","66.5"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-09","6.5","0",,"0","0","1","62",,,"0.00","98","0.00",,"72.2","78.7","65.8"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-10","6.5","1",,"0","0","1","55",,,"0.11","93","0.15",,"69.0","76.4","61.6"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-11","6.3","3",,"0","0","1","47",,,"0.67","91","1.31",,"62.7","69.7","55.6"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2012-12","6.0","5",,"0","0","0","41",,,"1.42","68","2.82",,"56.6","62.3","50.8"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-01","5.6","4",,"0","0","0","38",,,"0.76","80","1.30",,"56.5","65.7","47.3"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-02","6.5","1",,"0","0","0","39",,,"0.13","80","0.20",,"56.1","64.8","47.5"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2013-03","6.5","1",,"0","0","0","48",,,"0.59","82","0.66",,"59.2","65.3","53.0"
