"STATION","NAME","DATE","AWND","DP10","DSNW","DT00","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2010-01","6.7","2","1","8","25","0","-11","8","6.3","0.47","38","0.88","6.4","16.9","24.1","9.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2010-02","6.5","5","6","3","17","0","-2","8","4.8","0.28","38","1.02","15.2","23.1","30.4","15.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2010-03","6.5","3","1","0","1","0","9","7","1.1","0.26","75","0.71","1.8","38.9","50.2","27.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2010-04","8.9","6","0","0","0","0","25","1","0.6","0.98","81","3.65","0.9","52.2","63.8","40.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2010-05","7.2","6","0","0","0","1","31","0","0.0","0.89","91","3.79","0.0","59.9","70.8","49.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2010-06","5.8","13","0","0","0","0","50","0","0.0","1.87","86","8.38","0.0","68.5","78.3","58.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2010-07","5.6","8","0","0","0","1","59","0","0.0","3.61","90","7.98","0.0","74.7","83.7","65.7"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2010-08","5.1","5","0","0","0","2","48","0","0.0","1.47","92","3.92","0.0","73.7","83.0","64.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2010-09","6.3","5","0","0","0","0","35","0","0.0","0.85","86","2.65","0.0","61.1","71.3","50.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2010-10","5.6","3","0","0","0","0","27","0","0.0","0.93","85","2.30","0.0","52.2","65.4","39.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2010-11","7.4","5","0","0","2","0","16","0","0.0","0.31","68","1.10","0.0","38.5","48.1","28.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2010-12","6.9","5","6","3","25","0","-10","8","4.8","0.64","48","1.49","20.8","19.6","26.8","12.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2011-01","6.5","5","6","4","29","0","-15","8","4.8","0.33","35","1.30","20.2","16.8","23.8","9.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2011-02","8.1","3","7","5","18","0","-13","19","8.3","0.95","52","1.60","23.8","22.0","29.6","14.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2011-03","7.6","4","1","0","4","0","13","4","5.1","1.39","60","2.96","6.5","32.6","41.4","23.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2011-04","9.4","8","1","0","0","0","26","1","1.3","1.13","81","3.62","2.0","45.7","53.8","37.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2011-05","8.9","3","0","0","0","0","27","0","0.0","0.96","88","2.41","0.0","56.5","67.5","45.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2011-06","7.4","7","0","0","0","3","45","0","0.0","1.36","96","3.55","0.0","68.2","78.7","57.8"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2011-07","5.4","3","0","0","0","8","53","0","0.0","1.00","97","1.85","0.0","76.6","87.2","66.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2011-08","4.5","6","0","0","0","1","49","0","0.0","0.89","92","3.06","0.0","71.2","82.5","59.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2011-09","6.5","7","0","0","0","1","36","0","0.0","1.17","92","3.31","0.0","59.0","70.0","48.0"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2011-10","5.8","3","0","0","0","0","27","0","0.0","0.57","82","1.36","0.0","52.3","63.8","40.9"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2011-11","8.5","4","1","0","0","0","19","1","1.5","1.23","63","3.35","1.6","40.1","48.7","31.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2011-12","6.7","5","1","0","8","0","9","1","1.3","0.79","52","2.23","2.5","30.8","38.6","23.1"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2012-01","7.2","5","3","4","12","0","-8","5","5.2","0.36","53","1.41","13.4","25.5","34.6","16.4"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2012-02","6.9","4","4","0","4","0","6","3","2.5","0.40","49","1.03","7.3","29.6","38.0","21.2"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2012-03","8.5","7","2","0","3","0","10","5","5.2","0.78","83","2.61","6.6","50.1","59.8","40.5"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2012-04","8.5","7","0","0","0","0","26","0","0.0","0.97","73","2.85","0.0","47.9","59.2","36.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2012-05","7.6","5","0","0","0","3","38","0","0.0","1.04","94","3.19","0.0","63.4","75.2","51.6"
"USW00014837","MADISON DANE CO REGIONAL AIRPORT, WI US","2012-06","6.7","2","0","0","0","9","44","0","0.0","0.10","97","0.31","0.0","71.6","84.6","58.6"
