"STATION","NAME","DATE","AWND","DP10","DSNW","DT00","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-01","7.8","3",,"0","0","0","35",,,"0.44","86","0.89",,"64.1","72.4","55.7"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-02","7.6","6",,"0","0","0","45",,,"2.90","83","4.69",,"64.6","73.0","56.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-03","8.3","6",,"0","0","0","44",,,"1.20","86","2.81",,"67.7","76.1","59.3"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-04","9.4","5",,"0","0","0","60",,,"2.80","89","8.95",,"76.3","82.8","69.9"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-05","8.3","3",,"0","0","9","72",,,"2.53","95","3.42",,"82.4","88.5","76.4"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-06","7.4","11",,"0","0","29","72",,,"3.17","95","7.20",,"85.5","92.3","78.7"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-07","7.8","11",,"0","0","24","72",,,"1.50","95","7.36",,"84.9","91.2","78.6"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-08","5.1","11",,"0","0","27","72",,,"1.60","96","8.75",,"85.1","91.6","78.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-09","7.6","18",,"0","0","13","74",,,"5.06","95","15.89",,"83.5","89.5","77.5"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-10","6.9","3",,"0","0","1","67",,,"0.70","90","1.58",,"79.6","86.0","73.1"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-11","6.5","3",,"0","0","0","53",,,"1.14","85","2.35",,"73.8","80.6","67.0"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2010-12","6.9","2",,"0","0","0","36",,,"0.77","85","1.21",,"61.4","71.1","51.7"
"USW00012839","MIAMI INTERNATIONAL AIRPORT, FL US","2011-01","6.9","7",,"0","0","0","44",,,"1.06","85","2.55",,"67.1","75.8","58.4"
