"STATION","NAME","DATE","AWND","DP10","DSNW","DT00","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014732","LAGUARDIA AIRPORT, NY US","2010-01","13.0","2","1","0","10","0","14","0","1.1","1.22","56","1.79","1.7","33.0","38.2","27.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2010-02","13.4","6","4","0","0","0","18","10","10.4","1.49","46","5.02","29.1","33.8","38.2","29.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2010-03","12.5","9","0","0","0","0","30","5","0.0","3.15","74","9.55","0.0","48.0","54.7","41.4"
"USW00014732","LAGUARDIA AIRPORT, NY US","2010-04","9.8","4","0","0","0","1","42","0","0.0","1.50","91","2.55","0.0","58.0","66.8","49.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2010-05","9.8","3","0","0","0","2","43","0","0.0","1.45","94","2.90","0.0","66.2","75.2","57.2"
"USW00014732","LAGUARDIA AIRPORT, NY US","2010-06","9.6","5","0","0","0","12","59","0","0.0","0.76","96","1.68","0.0","76.0","84.3","67.6"
"USW00014732","LAGUARDIA AIRPORT, NY US","2010-07","8.7","5","0","0","0","18","64","0","0.0","0.90","103","2.52","0.0","82.8","90.6","74.9"
"USW00014732","LAGUARDIA AIRPORT, NY US","2010-08","8.9","5","0","0","0","11","64","0","0.0","1.05","95","2.37","0.0","78.6","85.3","72.0"
"USW00014732","LAGUARDIA AIRPORT, NY US","2010-09","10.5","7","0","0","0","4","59","0","0.0","1.02","96","2.76","0.0","72.5","79.1","65.9"
"USW00014732","LAGUARDIA AIRPORT, NY US","2010-10","11.0","5","0","0","0","0","44","0","0.0","2.24","77","4.62","0.0","60.2","66.6","53.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","2010-11","11.0","4","0","0","0","0","37","0","0.0","0.89","67","1.74","0.0","49.4","54.8","44.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2010-12","13.9","4","2","0","6","0","20","13","10.2","1.29","63","3.16","14.0","35.0","39.7","30.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2011-01","10.5","7","8","0","7","0","9","18","9.4","1.12","53","3.95","32.6","31.9","36.6","27.2"
"USW00014732","LAGUARDIA AIRPORT, NY US","2011-02","12.3","7","1","0","3","0","16","12","3.5","1.29","67","3.33","4.1","36.5","44.3","28.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2011-03","12.8","6","0","0","0","0","19","1","0.5","2.08","75","5.96","0.9","41.9","49.1","34.7"
"USW00014732","LAGUARDIA AIRPORT, NY US","2011-04","11.2","10","0","0","0","0","36","0","0.0","1.58","80","5.07","0.0","53.1","60.9","45.3"
"USW00014732","LAGUARDIA AIRPORT, NY US","2011-05","9.2","6","0","0","0","0","47","0","0.0","1.33","87","3.97","0.0","63.4","70.8","56.1"
"USW00014732","LAGUARDIA AIRPORT, NY US","2011-06","8.7","5","0","0","0","3","56","0","0.0","2.30","97","3.85","0.0","72.6","80.5","64.8"
"USW00014732","LAGUARDIA AIRPORT, NY US","2011-07","8.3","6","0","0","0","14","66","0","0.0","1.57","104","2.94","0.0","80.4","88.5","72.3"
