"STATION","NAME","DATE","AWND","DP10","DSNW","DT00","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-01","8.1","12","0","0","0","0","35","0","0.0","1.07","60","6.18","0.0","47.0","51.4","42.5"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-02","7.2","12","0","0","0","0","31","0","0.0","0.44","59","3.53","0.0","46.8","53.1","40.5"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-03","8.1","6","0","0","0","0","28","0","0.0","0.92","68","3.76","0.0","47.0","54.4","39.6"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-04","8.9","11","0","0","0","0","34","0","0.0","0.87","70","3.50","0.0","49.5","56.5","42.5"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-05","7.6","12","0","0","0","0","40","0","0.0","0.45","72","2.83","0.0","53.2","60.9","45.5"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-06","6.5","11","0","0","0","0","46","0","0.0","0.37","77","2.50","0.0","58.3","65.6","51.0"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-07","6.5","2","0","0","0","3","50","0","0.0","0.18","95","0.31","0.0","64.5","74.9","54.2"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-08","6.7","2","0","0","0","3","50","0","0.0","0.39","96","0.64","0.0","65.4","75.2","55.5"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-09","6.3","10","0","0","0","0","48","0","0.0","1.49","84","4.80","0.0","60.9","67.3","54.4"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-10","6.5","10","0","0","0","0","37","0","0.0","1.21","68","5.24","0.0","53.3","59.8","46.8"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-11","8.1","14","1","0","3","0","14","1","2.5","1.56","74","5.06","2.5","43.2","48.3","38.0"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2010-12","9.8","13","0","0","0","0","21","0","0.5","2.19","55","8.70","0.5","43.2","47.9","38.4"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2011-01","7.8","13","1","0","0","0","25","0","2.8","0.82","55","4.99","2.8","41.8","46.2","37.3"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2011-02","8.7","8","1","0","1","0","19","3","2.0","0.54","54","3.06","2.0","39.3","45.0","33.5"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2011-03","9.8","19","0","0","0","0","33","0","0.0","1.47","62","6.29","0.0","45.2","51.4","38.9"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2011-04","8.5","12","0","0","0","0","33","0","0.0","1.13","66","4.47","0.0","45.5","52.2","38.8"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2011-05","7.2","7","0","0","0","0","38","0","0.0","0.97","70","3.20","0.0","52.3","59.7","44.9"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2011-06","6.9","5","0","0","0","0","46","0","0.0","0.41","78","1.42","0.0","59.4","67.6","51.2"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2011-07","7.6","2","0","0","0","0","49","0","0.0","0.35","84","0.70","0.0","64.1","73.6","54.8"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2011-08","5.8","1","0","0","0","0","52","0","0.0","0.12","87","0.13","0.0","65.8","75.8","55.8"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2011-09","6.3","4","0","0","0","0","46","0","0.0","0.59","85","1.30","0.0","64.0","73.5","54.5"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2011-10","6.3","10","0","0","0","0","37","0","0.0","0.89","67","3.45","0.0","52.2","58.0","46.4"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2011-11","7.8","10","0","0","0","0","27","0","0.0","1.76","62","5.16","0.0","43.1","49.3","36.8"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2011-12","5.8","4","0","0","0","0","26","0","0.0","0.90","53","2.25","0.0","39.2","44.3","34.0"
"USW00024233","SEATTLE TACOMA AIRPORT, WA US","2012-01","8.7","18","2","0","2","0","26","3","6.8","1.09","55","6.82","9.6","39.7","44.7","34.8"
