"city","year","sd_AWND","AWND","DP10","DSNW","DT00","DX32","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","PRCP","SNOW","sd_TAVG","sd_TMAX","sd_TMIN","MXTR"
"ATLANTA",2010,1.68601646348768,7.80833333333333,67,3,0,5,85,13,3,3.6,2.81,97,48.16,6.8,17.6395217416099,17.797401495724,17.5346583207156,84
"ATLANTA",2011,0.935292856421307,7.975,70,2,0,2,90,19,3,3.7,1.95,99,39.25,5.6,14.193713930875,14.5347311323914,13.9185591164742,80
"ATLANTA",2012,0.932250454057765,7.3,66,0,0,0,52,19,0,0,1.97,106,37.04,0,12.2464930044928,12.2402806216594,12.3112999338253,87
"ATLANTA",2013,1.38703411506842,7.825,86,0,0,0,20,22,0,0.4,4.14,92,66.05,0.4,12.7462293889748,12.1942485200892,13.3446505000954,70
"ATLANTA",2014,1.22239209104216,7.58333333333333,75,2,0,3,31,6,2,2.6,2.54,95,47.64,4.6,14.5568061765143,13.9026131182289,15.2773227664107,89
"ATLANTA",2015,1.15085607135284,7.64166666666667,100,0,0,1,49,11,0,0,3.93,97,68.43,0,13.7507768375595,13.5699171521108,13.9707161266311,86
"ATLANTA",2016,1.16264458208105,8.10833333333333,55,0,0,0,88,20,0,0.2,2.32,100,38.71,0.3,14.2838327765302,14.5088896469674,14.0789333273641,80
"ATLANTA",2017,1.09198179583006,7.81666666666667,83,1,0,1,38,15,2,1.5,4.27,94,52.5,2.3,11.3776761753671,11.1684993973174,11.6839309491388,79
"ATLANTA",2018,1.450705157689,8.15,92,1,0,2,66,13,2,2.3,4.16,95,70.05,2.4,14.6037562623353,14.5914566120249,14.7022158709207,82
"ATLANTA",2019,1.17740726971931,8.00833333333333,72,0,0,0,91,22,0,0,3.9,100,43.75,0,13.8865833439942,14.1859619043446,13.6221160417369,78
"CHICAGO",2010,0.948803073734098,9.175,70,12,2,64,21,-1,9,12.6,3.64,94,37.64,49.6,20.3411510058409,21.6754714044715,19.0875078138937,95
"CHICAGO",2011,1.65591227259944,9.475,83,8,4,44,22,-9,21,13.6,6.86,99,49.85,42.9,18.7763552147778,19.9840599357376,17.5791112265425,108
"CHICAGO",2012,1.36869767784319,9.66666666666667,65,4,0,17,46,5,5,5.4,1.34,103,26.95,19,17.2242671480641,18.6227845947003,15.865998999194,98
"CHICAGO",2013,1.61552599558913,9.64166666666667,76,12,6,51,13,-6,10,9.2,3.54,96,42.12,44.5,19.3434508531723,20.2126179462836,18.4965578288273,102
"CHICAGO",2014,1.66887732177998,10.0833333333333,72,20,19,72,3,-16,14,8.7,2.76,91,39.5,69.9,20.8835062509468,21.5935806959552,20.2779081910847,107
"CHICAGO",2015,1.36212289749449,9.84166666666667,84,17,13,51,10,-10,18,16.2,2.56,92,39.88,63.6,19.3722544486759,20.0689474441275,18.7562837955226,102
"CHICAGO",2016,1.38520319043376,9.66666666666667,79,10,7,40,16,-13,6,6.4,1.6,93,36.02,33.3,18.9198368722547,19.8841245492707,17.976061523003,106
"CHICAGO",2017,1.35613085986969,10.05,74,4,4,30,16,-4,6,3.9,4.19,95,43.13,13.8,17.3724180553805,18.6033293696683,16.2162283101238,99
"CHICAGO",2018,1.2273092026005,9.39166666666667,87,15,5,32,26,-9,12,6.2,2.36,97,49.25,44.8,19.7655864848708,20.5453139241634,19.0200611795211,106
"CHICAGO",2019,1.11599934832174,9.6,93,14,7,50,14,-23,10,5.4,2.28,95,49.58,45.9,19.4247323603886,20.0920759293687,18.8157091041212,118
"DAL",2010,1.56107965747098,10.3666666666667,45,3,0,2,114,13,11,11.2,5.24,107,31.71,13.9,17.0368495451548,17.2063853545623,16.9511240353142,94
"DAL",2011,2.34461019568221,11.0916666666667,32,1,0,3,128,13,3,2.6,2.84,110,25.92,4.3,17.1965817604088,17.45452967171,16.9865789267988,97
"DAL",2012,1.04631387607769,10.225,38,0,0,1,119,22,0,0.4,3.54,108,31.26,0.8,13.9556738760023,13.8783322506923,14.0888307362659,86
"DAL",2013,1.88219327252849,10.5416666666667,50,1,0,2,110,19,2,2,1.95,105,29.42,2.4,15.490573868901,15.4838601208621,15.4733470747919,86
"DAL",2014,1.72653094119656,11.45,32,0,0,2,101,15,0,0.7,2.83,104,21.33,0.8,15.5742478781384,15.2559973304093,16.015834967212,89
"DAL",2015,1.01096263756157,10.025,67,3,0,3,115,16,4,2.5,3.55,106,62.62,5.8,15.5055097734107,15.4301358033263,15.6301064383045,90
"DAL",2016,1.40935725732969,10.4083333333333,56,0,0,1,114,16,0,0,3.2,107,35.48,0,14.074961650198,13.6864454069999,14.4618908818587,91
"DAL",2017,1.63113643224779,10.7333333333333,52,0,0,1,118,14,0,0.1,3.84,102,36.64,0.1,12.4723208697815,12.0537684287252,12.9781284545122,88
"DAL",2018,1.68115670857534,10.7583333333333,59,0,0,3,118,13,0,0,5.85,109,56,0,15.7188629205535,15.5684120752713,16.0488175718508,96
"DAL",2019,1.1722808640605,10.5833333333333,52,0,0,1,114,21,0,0,2.42,102,34.55,0,15.4372630640632,15.2413214252531,15.6491915755957,81
"DENVER",2010,1.3228470215502,9.60833333333333,24,11,5,13,49,-16,8,8,1.84,102,12.86,27.8,16.8573763190965,18.1420886004859,15.6770822888352,118
"DENVER",2011,1.09114896352701,9.91666666666667,37,16,12,23,50,-17,7,8,1.55,99,17.34,47.5,17.8271158801995,18.6496567520611,17.0305852316746,116
"DENVER",2012,1.17792189893897,10.275,23,13,4,19,73,-6,11,12.5,1.41,105,10.11,38.5,17.424582078376,18.7400316936442,16.2124811628124,111
"DENVER",2013,NA,NA,NA,18,NA,NA,NA,NA,9,9.1,NA,NA,NA,68.1,NA,NA,NA,NA
"DENVER",2014,1.19655439669178,10.2083333333333,44,17,14,24,29,-19,6,5.4,1.8,100,18.81,46.4,16.6792921875836,16.8700290096929,16.5164633201561,119
